Configuration,Convergence,F,E,Zwitteriónica
0,T,-.16878616E+03,-.16878616E+03,F
1,T,-.16838752E+03,-.16838762E+03,T
2,T,-.16748641E+03,-.16748651E+03,T
3,T,-.16771722E+03,-.16771736E+03,T
4,T,-.16919743E+03,-.16919752E+03,F
5,T,-.16764271E+03,-.16764281E+03,T
6,T,-.16808756E+03,-.16808766E+03,T
7,T,-.16803944E+03,-.16803953E+03,T
8,T,-.16785232E+03,-.16785242E+03,T
9,T,-.16387231E+03,-.16387240E+03,T
10,T,-.16903414E+03,-.16903423E+03,T
11,T,-.16785459E+03,-.16785469E+03,T
12,T,-.16855594E+03,-.16855613E+03,T
13,T,-.16924196E+03,-.16924205E+03,F
14,T,-.16828675E+03,-.16828684E+03,T
15,F,-0.163142487082E+03,-0.23011E-04,T
16,T,-.16759222E+03,-.16759233E+03,T
17,T,-.16718910E+03,-.16718829E+03,T
18,T,-.16906934E+03,-.16906943E+03,F
19,T,-.16878221E+03,-.16878230E+03,T
20,T,-.16775546E+03,-.16775565E+03,T
21,T,-.16935102E+03,-.16935112E+03,F
22,T,-.16829081E+03,-.16829091E+03,T
23,T,-.16809448E+03,-.16809464E+03,T
24,T,-.16891843E+03,-.16891853E+03,T
25,T,-.16774553E+03,-.16774563E+03,T
26,T,-.16758460E+03,-.16758472E+03,T
27,T,-.16951081E+03,-.16951090E+03,F
28,T,-.16767501E+03,-.16767511E+03,T
29,T,-.16789058E+03,-.16789068E+03,T
30,T,-.16920035E+03,-.16920044E+03,F
31,T,-.16966489E+03,-.16966499E+03,F
32,T,-.15324526E+03,-.15324536E+03,T
33,T,-.16941370E+03,-.16941379E+03,F
34,T,-.16752245E+03,-.16752233E+03,T
35,T,-.16790494E+03,-.16790516E+03,T
36,T,-.22935413E+03,-.22935432E+03,T
37,F,-0.163533699254E+03,-0.72851E-05,T
38,T,-.16769151E+03,-.16769148E+03,T
39,T,-.16905175E+03,-.16905185E+03,F
40,T,-.16922765E+03,-.16922774E+03,T
41,F,-0.266233839853E+04,-0.23594E+04,T
42,T,-.16949116E+03,-.16949126E+03,F
43,T,-.16775084E+03,-.16775020E+03,T
44,T,-.16901560E+03,-.16901570E+03,F
45,F,-0.633153186992E+04,-0.40581E+03,T
46,T,-.16909243E+03,-.16909253E+03,T
47,T,-.16769628E+03,-.16769650E+03,T
48,T,-.16777428E+03,-.16777454E+03,T
49,T,-.16940398E+03,-.16940408E+03,T
50,T,-.15414390E+03,-.15414411E+03,T
51,T,-.16908392E+03,-.16908392E+03,F
52,T,-.16736990E+03,-.16737031E+03,T
53,T,-.16971802E+03,-.16971811E+03,F
54,F,-0.156607614451E+03,-0.27131E+00,T
55,T,-.16756029E+03,-.16756048E+03,T
56,T,-.16866709E+03,-.16866709E+03,T
57,T,-.16778893E+03,-.16778903E+03,T
58,T,-.16907940E+03,-.16907950E+03,F
59,T,-.16947945E+03,-.16947955E+03,F
60,T,-.16794484E+03,-.16794494E+03,T
61,T,-.16735288E+03,-.16735280E+03,T
62,T,-.16967511E+03,-.16967521E+03,F
63,T,-.16828092E+03,-.16828101E+03,T
