Configuration,Convergence,F,E,Zwitteriónica
0,T,-.16868955E+03,-.16868955E+03,F
1,T,-.16969700E+03,-.16969709E+03,F
2,T,-.16810992E+03,-.16811002E+03,T
3,T,-.16770271E+03,-.16770291E+03,F
4,T,-.16879654E+03,-.16879664E+03,F
5,T,-.16898601E+03,-.16898611E+03,F
6,T,-.16696922E+03,-.16696884E+03,T
7,T,-.16788455E+03,-.16788455E+03,F
8,T,-.16773062E+03,-.16773062E+03,F
9,F,-0.139105326272E+03,-0.10800E+00,T
10,T,-.16952901E+03,-.16952911E+03,F
11,T,-.16781428E+03,-.16781440E+03,T
12,T,-.16778810E+03,-.16778831E+03,F
13,T,-.16916075E+03,-.16916085E+03,F
14,T,-.16924449E+03,-.16924458E+03,F
15,T,-.16778944E+03,-.16778901E+03,T
16,F,-0.967538489348E+02,-0.51884E-03,F
17,T,-.16766975E+03,-.16766975E+03,F
18,T,-.16942837E+03,-.16942847E+03,F
19,T,-.16926758E+03,-.16926768E+03,F
20,T,-.16791346E+03,-.16791368E+03,T
21,T,-.16789108E+03,-.16789129E+03,F
22,T,-.16737389E+03,-.16737428E+03,T
23,T,-.16905410E+03,-.16905410E+03,F
24,T,-.16970587E+03,-.16970597E+03,F
25,T,-.16493219E+03,-.16493228E+03,T
26,T,-.16765331E+03,-.16765352E+03,F
27,T,-.16944293E+03,-.16944303E+03,F
28,T,-.16901180E+03,-.16901180E+03,F
29,T,-.16788846E+03,-.16788864E+03,T
30,T,-.16789844E+03,-.16789844E+03,F
31,T,-.16912438E+03,-.16912448E+03,F
32,T,-.16874097E+03,-.16874107E+03,T
33,T,-.16775804E+03,-.16775834E+03,T
34,T,-.16738517E+03,-.16738538E+03,T
35,T,-.16778680E+03,-.16778680E+03,F
36,F,-0.126496489030E+05,-0.49970E+04,T
37,T,-.16961803E+03,-.16961813E+03,F
38,F,-0.129732522045E+03,-0.27293E-01,T
39,T,-.16756759E+03,-.16756768E+03,T
40,T,-.16779010E+03,-.16779028E+03,F
41,T,-.16959896E+03,-.16959906E+03,F
42,T,-.16944110E+03,-.16944119E+03,F
43,T,-.16785658E+03,-.16785669E+03,T
44,T,-.16791470E+03,-.16791489E+03,T
45,T,-.16923484E+03,-.16923494E+03,F
46,T,-.16932810E+03,-.16932820E+03,T
47,T,-.16801092E+03,-.16801131E+03,T
48,T,-.16760930E+03,-.16760939E+03,T
49,F,dE,eps,T
50,T,-.16900142E+03,-.16900152E+03,F
51,T,-.14489046E+03,-.14489056E+03,T
52,T,-.16786838E+03,-.16786854E+03,T
53,T,-.16788818E+03,-.16788839E+03,T
54,T,-.15528211E+03,-.15528222E+03,T
55,T,-.16963611E+03,-.16963620E+03,T
56,T,-.16909673E+03,-.16909682E+03,F
57,T,-.16790257E+03,-.16790267E+03,T
58,T,-.16788532E+03,-.16788532E+03,F
59,T,-.16887315E+03,-.16887324E+03,F
60,T,-.16939690E+03,-.16939700E+03,F
61,T,-.16818847E+03,-.16818857E+03,F
62,T,-.16791402E+03,-.16791418E+03,T
63,F,0.386612562718E+04,-0.10087E+05,F

