Configuration,Convergence,F,E,Zwitteriónica
0,T,-.15265648E+03,-.15265658E+03,F
1,T,-.15310855E+03,-.15310864E+03,T
2,F,-0.121745244395E+03,-0.35521E-07,T
3,T,-.15109134E+03,-.15109144E+03,T
4,T,-.15261162E+03,-.15261171E+03,F
5,T,-.15292560E+03,-.15292569E+03,F
6,T,-.15139189E+03,-.15139199E+03,T
7,T,-.15156774E+03,-.15156785E+03,F
8,F,-0.105091314306E+03,-0.37357E-01,T
9,F,-0.220326594134E+03,-0.22277E+01,F
10,F,-0.754508975350E+02,-0.31416E-03,T
11,T,-.15188559E+03,-.15188568E+03,F
12,T,-.15150202E+03,-.15150212E+03,F
13,T,-.15281170E+03,-.15281180E+03,F
14,T,-.15261304E+03,-.15261314E+03,F
15,T,-.15169406E+03,-.15169415E+03,T
16,T,-.14947566E+03,-.14947576E+03,T
17,T,-.15137340E+03,-.15137349E+03,F
18,F,-0.134248970048E+03,-0.37223E-07,T
19,T,-.15313862E+03,-.15313872E+03,F
20,T,-.15157570E+03,-.15157588E+03,T
21,T,-.15157732E+03,-.15157752E+03,F
22,T,-.15305986E+03,-.15305995E+03,F
23,T,-.15286871E+03,-.15286880E+03,F
24,T,-.15328149E+03,-.15328158E+03,F
25,T,-.15243317E+03,-.15243327E+03,F
26,T,-.15100441E+03,-.15100451E+03,T
27,T,-.15304924E+03,-.15304933E+03,F
28,T,-.15330948E+03,-.15330958E+03,T
29,T,-.15192112E+03,-.15192140E+03,T
30,T,-.15161016E+03,-.15161033E+03,F
31,T,-.15314520E+03,-.15314530E+03,F
32,F,-0.119142169006E+03,-0.44553E-06,F
33,T,-.15304347E+03,-.15304357E+03,F
34,T,-.15151427E+03,-.15151458E+03,T
35,T,-.15142565E+03,-.15142581E+03,F
36,F,0.140439729872E+02,-0.57123E-04,T 
37,T,-.15311566E+03,-.15311576E+03,T
38,F,-0.120789574171E+03,-0.14048E-02,F
39,T,-.15171705E+03,-.15171715E+03,T
40,T,-.15139446E+03,-.15139459E+03,F
41,T,-.15316143E+03,-.15316152E+03,F
42,T,-.15312778E+03,-.15312788E+03,F
43,T,-.15257562E+03,-.15257572E+03,F
44,T,-.15173332E+03,-.15173342E+03,T
45,T,-.15286982E+03,-.15286991E+03,F
46,T,-.15339707E+03,-.15339716E+03,T
47,T,-.15274551E+03,-.15274560E+03,F
48,T,-.15166201E+03,-.15166211E+03,T
49,F,-0.139408662031E+03,-0.69016E-07,F
50,T,-.15276470E+03,-.15276480E+03,F
51,F,-0.102406850951E+03,-0.85752E-01,F
52,T,-.15260976E+03,-.15260985E+03,F
53,T,-.15152682E+03,-.15152692E+03,T
54,T,-.14053077E+03,-.14053126E+03,F
55,T,-.15322453E+03,-.15322463E+03,T 
56,T,-.15277909E+03,-.15277919E+03,F
57,T,-.15232843E+03,-.15232853E+03,F
58,T,-.15115336E+03,-.15115355E+03,T
59,T,-.15278356E+03,-.15278366E+03,F 
60,T,-.15315871E+03,-.15315881E+03,F 
61,T,-.15244737E+03,-.15244747E+03,F
62,T,-.15173983E+03,-.15173993E+03,T
63,T,-.15267809E+03,-.15267819E+03,F 
