Configuration,Convergence,F,E,Zwitteriónica
0,T,-.15291949E+03,-.15291959E+03,F
1,T,-.15080971E+03,-.15080980E+03,T
2,T,-.15083238E+03,-.15083250E+03,T
3,T,-.15271842E+03,-.15271852E+03,F
4,T,-.15261324E+03,-.15261334E+03,F
5,T,-.15311886E+03,-.15311896E+03,F
6,T,-.15110812E+03,-.15110833E+03,T
7,T,-.15304261E+03,-.15304271E+03,F
8,T,-.15310068E+03,-.15310077E+03,F
9,T,-.15215115E+03,-.15215125E+03,F
10,T,-.15072050E+03,-.15072092E+03,T
11,T,-.15112824E+03,-.15112834E+03,T
12,T,-.15316309E+03,-.15316319E+03,F
13,F,-0.289059212045E+03,-0.19010E+01,F
14,T,-.15250773E+03,-.15250782E+03,T
15,T,-.15084420E+03,-.15084430E+03,T
16,T,-.15071583E+03,-.15071593E+03,T
17,T,-.15254121E+03,-.15254131E+03,F
18,T,-.15261192E+03,-.15261202E+03,F
19,T,-.15078476E+03,-.15078476E+03,T
20,T,-.15082019E+03,-.15082028E+03,T
21,T,-.15249338E+03,-.15249348E+03,F
22,F,-0.209265888727E+03,-0.10452E-01,T
23,T,-.15269762E+03,-.15269772E+03,F
24,T,-.15082912E+03,-.15082932E+03,T
25,T,-.15091434E+03,-.15091448E+03,T
26,T,-.15285592E+03,-.15285602E+03,F
27,T,-.15288752E+03,-.15288761E+03,F
28,T,-.15310705E+03,-.15310715E+03,F
29,T,-.15126333E+03,-.15126346E+03,T
30,T,-.15283226E+03,-.15283236E+03,F
31,T,-.15240965E+03,-.15240975E+03,F
32,T,-.15283639E+03,-.15283649E+03,F
33,T,-.15110321E+03,-.15110342E+03,F
34,T,-.15086505E+03,-.15086515E+03,T
35,T,-.15312658E+03,-.15312668E+03,F
36,F,-0.146005906647E+03,-0.16517E-03,F
37,T,-.15104415E+03,-.15104425E+03,T
38,T,-.15090699E+03,-.15090667E+03,T
39,T,-.15127518E+03,-.15127537E+03,F
40,T,-.15321096E+03,-.15321106E+03,F
41,T,-.15276530E+03,-.15276540E+03,F
42,T,-.15114507E+03,-.15114526E+03,F
43,T,-.15104309E+03,-.15104272E+03,T
44,T,-.15130637E+03,-.15130658E+03,F
45,T,-.15127326E+03,-.15127326E+03,F
46,T,-.15080829E+03,-.15080837E+03,T
47,T,-.15089634E+03,-.15089650E+03,T
48,T,-.15103615E+03,-.15103636E+03,T
49,T,-.15338057E+03,-.15338066E+03,F
50,T,-.15270006E+03,-.15270015E+03,F
51,T,-.15114067E+03,-.15114087E+03,F
52,T,-.15062566E+03,-.15062587E+03,T
53,T,-.15132589E+03,-.15132605E+03,F
54,T,-.15228218E+03,-.15228228E+03,F
55,T,-.15092574E+03,-.15092587E+03,T
56,T,-.15131892E+03,-.15131911E+03,F
57,T,-.15079256E+03,-.15079278E+03,T
58,T,-.15308137E+03,-.15308137E+03,F
59,T,-.15289710E+03,-.15289720E+03,F
60,T,-.15091897E+03,-.15091911E+03,T
61,T,-.15097218E+03,-.15097256E+03,T
62,T,-.15131947E+03,-.15131968E+03,F
63,T,-.15271249E+03,-.15271258E+03,F

