Configuration,Convergence,F,E,Zwitteriónica
0,T,-.18097598E+03,-.18097608E+03,F
1,F,-0.175782659000E+03,-0.23751E-04,T
2,T,-.18100560E+03,-.18100569E+03,F
3,F,-0.173987521727E+03,-0.78306E-04,T
4,F,-0.175392293605E+03,-0.33062E-06,F
5,T,-.18123070E+03,-.18123079E+03,F
6,T,-.18019882E+03,-.18019891E+03,F
7,T,-.17937001E+03,-.17937012E+03,F
8,T,-.18144784E+03,-.18144784E+03,F
9,F,-0.165309096826E+03,-0.50506E-02,F
10,T,-.18149530E+03,-.18149540E+03,T
11,F,-0.174481740463E+03,-0.27205E-06,F
12,T,-.17936473E+03,-.17936473E+03,F
13,T,-.18151699E+03,-.18151709E+03,F
14,F,-0.175340201960E+03,-0.14133E-04,T
15,T,-.17997905E+03,-.17997915E+03,F
16,F,-0.168805273474E+03,-0.22828E-05,T
17,T,-.17915061E+03,-.17915071E+03,F
18,T,-.18127274E+03,-.18127283E+03,F
19,F,-0.175550788292E+03,-0.24863E-06,T
20,F,-0.173764475225E+03,-0.10767E-02,T
21,T,-.17938242E+03,-.17938242E+03,F
22,F,-0.175175010291E+03,-0.22056E-06,F
23,F,-0.175486399575E+03,-0.22242E-06,F
24,F,-0.175982160632E+03,-0.45141E-06,T
25,F,-0.175104593417E+03,-0.22836E-06,T
26,T,-.17917691E+03,-.17917701E+03,T
27,T,-.18136805E+03,-.18136815E+03,F
28,F,-0.175341286393E+03,-0.61879E-06,T
29,T,-.18082264E+03,-.18082276E+03,F
30,T,-.17942874E+03,-.17942891E+03,F
31,F,-0.175795451838E+03,-0.29711E-06,F
32,T,-.17725898E+03,-.17725898E+03,T
33,T,-.18150017E+03,-.18150026E+03,F
34,F,-0.174861287926E+03,-0.48728E-06,F
35,T,-.17928437E+03,-.17928447E+03,F
36,T,-.18007771E+03,-.18007780E+03,F
37,F,-0.176108405288E+03,-0.29963E-04,T
38,F,-0.175588920299E+03,-0.23674E-06,F
39,F,-0.174767438402E+03,-0.22123E-06,F
40,T,-.17922347E+03,-.17922381E+03,F
41,F,-0.175803178006E+03,-0.20437E-06,F
42,F,-0.176071632114E+03,-0.83382E-06,F
43,F,-0.175741709685E+03,-0.27393E-06,F
44,F,-0.174425117020E+03,-0.62621E-06,F
45,F,-0.175662502113E+03,-0.64079E-06,F
46,F,-0.176382283700E+03,-0.31648E-06,T
47,F,-0.175564739499E+03,-0.26230E-06,F
48,T,-.18085250E+03,-.18085260E+03,F
49,F,-0.172489239365E+03,-0.43622E-05,F
50,T,-.18150126E+03,-.18150136E+03,F
51,F,-0.170124213768E+03,-0.40891E-03,T
52,T,-.18146354E+03,-.18146364E+03,F
53,T,-.17991532E+03,-.17991541E+03,T
54,F,-0.135913383183E+03,-0.19571E+00,F
55,T,-.18186765E+03,-.18186775E+03,T
56,T,-.18133384E+03,-.18133394E+03,F
57,T,-.18061946E+03,-.18061956E+03,F
58,T,-.17892614E+03,-.17892624E+03,T
59,F,0,0,F
60,F,0,0,F
61,T,-.18079181E+03,-.18079191E+03,F
62,T,-.17997327E+03,-.17997337E+03,T
63,F,-0.175595490294E+03,-0.19520E-06,F
