Configuration,Convergence,F,E,Zwitteriónica
0,T,-.18138184E+03,-.18138193E+03,F
1,T,-.17864380E+03,-.17864390E+03,T
2,T,-.17919951E+03,-.17919964E+03,T
3,T,-.18149013E+03,-.18149022E+03,F
4,F,-0.175388889774E+03,-0.23033E-06,F
5,T,-.18156263E+03,-.18156273E+03,F
6,T,-.17968131E+03,-.17968141E+03,T
7,F,-0.175831172662E+03,-0.36367E-06,F
8,F,-0.175438215217E+03,-0.68216E-06,F
9,T,-.18112286E+03,-.18112295E+03,F
10,F,-0.173393066680E+03,-0.46604E-05,F
11,F,-0.174099985495E+03,-0.99319E-04,T
12,T,-.18161673E+03,-.18161683E+03,F
13,F,-0.138237846515E+03,-0.13383E+00,F
14,F,-0.175301084741E+03,-0.51470E-06,F
15,F,-0.173855211346E+03,-0.12402E-04,F
16,F,-0.173418466471E+03,-0.57874E-04,F
17,F,-0.175560230305E+03,-0.46460E-06,F
18,F,-0.175345659070E+03,-0.19789E-06,F
19,T,-.17914968E+03,-.17914968E+03,T
20,F,-0.173545322601E+03,-0.14823E-04,F
21,T,-.18080366E+03,-.18080376E+03,F
22,F,-0.167383623984E+03,-0.44147E-02,F
23,T,-.18141634E+03,-.18141644E+03,F
24,T,-.17866272E+03,-.17866282E+03,T
25,F,-0.173796385040E+03,-0.90212E-04,F
26,T,-.18177511E+03,-.18177521E+03,F
27,T,-.18126576E+03,-.18126585E+03,F
28,T,-.18148528E+03,-.18148538E+03,F
29,T,-.17950996E+03,-.17951006E+03,T
30,F,-0.175595110052E+03,-0.36221E-06,F
31,F,-0.175446202329E+03,-0.55950E-04,F
32,F,-0.175779948837E+03,-0.31521E-06,F
33,F,-0.173591260227E+03,-0.45316E-05,F
34,T,-.17928733E+03,-.17928753E+03,T
35,T,-.18157102E+03,-.18157102E+03,F
36,T,-.17918067E+03,-.17918084E+03,F
37,T,-.17918448E+03,-.17918458E+03,T
38,F,-0.173537784798E+03,-0.18169E-04,F
39,T,-.17910139E+03,-.17910158E+03,F
40,F,-0.176057201041E+03,-0.49696E-06,F
41,T,-.18149719E+03,-.18149728E+03,F
42,T,-.17899171E+03,-.17899191E+03,F
43,T,-.17923915E+03,-.17923936E+03,F
44,T,-.17910391E+03,-.17910413E+03,F
45,T,-.17923054E+03,-.17923076E+03,F
46,F,-0.173412059334E+03,-0.18538E-04,F
47,T,-.17908027E+03,-.17907962E+03,T
48,T,-.17938427E+03,-.17938462E+03,T
49,T,-.18169364E+03,-.18169374E+03,F
50,T,-.18102597E+03,-.18102607E+03,F
51,T,-.17896828E+03,-.17896848E+03,F
52,T,-.17911174E+03,-.17911174E+03,T
53,T,-.17915685E+03,-.17915704E+03,F
54,T,-.18136593E+03,-.18136603E+03,F
55,T,-.17916738E+03,-.17916751E+03,T
56,T,-.17911498E+03,-.17911518E+03,F
57,T,-.17927601E+03,-.17927614E+03,T
58,T,-.18187459E+03,-.18187468E+03,F
59,T,-.18125021E+03,-.18125031E+03,F
60,T,-.17910714E+03,-.17910724E+03,T
61,T,-.17932092E+03,-.17932128E+03,T
62,T,-.17917652E+03,-.17917652E+03,F
63,T,-.18094692E+03,-.18094702E+03,F
