Configuration,Convergence,F,E,Zwitteriónica
0,T,-.16889166E+03,-.16889176E+03,F
1,T,-.16720696E+03,-.16720706E+03,T
2,T,-.16754222E+03,-.16754222E+03,F
3,T,-.16894947E+03,-.16894956E+03,F
4,T,-.16871225E+03,-.16871234E+03,F
5,T,-.16944822E+03,-.16944831E+03,F
6,T,-.16766614E+03,-.16766614E+03,T
7,T,-.16953622E+03,-.16953631E+03,F
8,T,-.16931728E+03,-.16931737E+03,F
9,T,-.16852125E+03,-.16852146E+03,F
10,T,-.16748192E+03,-.16748192E+03,T
11,T,-.16700155E+03,-.16700195E+03,T
12,F,-0.164454764025E+03,-0.11804E-04,T
13,F,-0.159357710810E+03,-0.59067E+00,T
14,T,-.16882909E+03,-.16882919E+03,T
15,F,-0.249693363945E+03,-0.73195E-06,
16,T,-.16693770E+03,-.16693780E+03,T
17,T,-.16873825E+03,-.16873834E+03,F
18,T,-.16892846E+03,-.16892855E+03,F
19,T,-.16725837E+03,-.16725847E+03,T
20,T,-.16778335E+03,-.16778344E+03,F
21,T,-.25236833E+03,-.25236854E+03,T
22,F,-0.153175615814E+03,-0.64499E+00,T
23,T,-.16900235E+03,-.16900245E+03,F
24,T,-.16722812E+03,-.16722822E+03,T
25,T,-.16708744E+03,-.16708765E+03,T
26,T,-.16887633E+03,-.16887643E+03,F
27,T,-.16923784E+03,-.16923794E+03,F
28,T,-.16898704E+03,-.16898704E+03,F
29,T,-.16787998E+03,-.16788007E+03,F
30,T,-.16938603E+03,-.16938613E+03,F
31,F,-0.203412419737E+03,-0.10064E+03,T
32,T,-.16940963E+03,-.16940973E+03,F
33,T,-.16756377E+03,-.16756377E+03,F
34,T,-.16735171E+03,-.16735171E+03,T
35,F,-0.164502610560E+03,-0.11377E-04,T
36,F,-0.162608177182E+03,-0.23435E-04,T
37,F,-0.162971446944E+03,-0.12469E-06,T
38,F,dE,eps,
39,T,-.93035628E+02,-.93035843E+02,
40,T,-.16962968E+03,-.16962978E+03,
41,F,-0.164666987568E+03,-0.25474E-04,
42,F,0.383946068004E+04,-0.10068E+05,
43,F,0.111065669613E+04,-0.24462E+04,
44,F,0.383785668895E+04,-0.10082E+05,
45,F,0.384248399797E+04,-0.10084E+05,
46,F,,,
47,F,,,
48,F,,,
49,F,,,
50,F,,,
51,F,,,
52,F,,,
53,F,,,
54,F,,,
55,F,,,
56,F,,,
57,F,,,
58,F,,,
59,F,,,
60,F,,,
61,F,,,
62,F,,,
63,F,,,

